PING RECV: 1,689,862,731,157
PING RECV: 1,689,862,752,386
PING RECV: 1,689,862,763,721
PING RECV: 7/20/2023, 2:23:26 PM
PING RECV: 7/20/2023, 2:23:46 PM
7/20/2023, 2:25:45 PM
PING RECV: 7/20/2023, 2:25:52 PM
PING RECV: 7/20/2023, 2:26:06 PM
7/20/2023, 2:27:45 PM
7/20/2023, 2:29:45 PM
PING RECV: 7/20/2023, 2:30:52 PM
PING RECV: 7/20/2023, 2:31:06 PM
7/20/2023, 2:31:46 PM
7/20/2023, 2:33:46 PM
7/20/2023, 2:35:46 PM
PING RECV: 7/20/2023, 2:35:52 PM
PING RECV: 7/20/2023, 2:36:06 PM
7/20/2023, 2:37:46 PM
7/20/2023, 2:39:46 PM
PING RECV: 7/20/2023, 2:40:52 PM
PING RECV: 7/20/2023, 2:41:06 PM
7/20/2023, 2:41:46 PM
7/20/2023, 2:43:46 PM
7/20/2023, 2:45:46 PM
PING RECV: 7/20/2023, 2:45:52 PM
PING RECV: 7/20/2023, 2:46:06 PM
7/20/2023, 2:47:46 PM
7/20/2023, 2:49:46 PM
PING RECV: 7/20/2023, 2:50:52 PM
PING RECV: 7/20/2023, 2:51:06 PM
7/20/2023, 2:51:46 PM
7/20/2023, 2:53:46 PM
7/20/2023, 2:55:46 PM
PING RECV: 7/20/2023, 2:55:52 PM
PING RECV: 7/20/2023, 2:56:06 PM
7/20/2023, 2:57:46 PM
7/20/2023, 2:59:46 PM
PING RECV: 7/20/2023, 3:00:52 PM
PING RECV: 7/20/2023, 3:01:06 PM
7/20/2023, 3:01:46 PM
7/20/2023, 3:03:46 PM
7/20/2023, 3:05:46 PM
PING RECV: 7/20/2023, 3:05:52 PM
PING RECV: 7/20/2023, 3:06:06 PM
7/20/2023, 3:07:46 PM
7/20/2023, 3:30:43 PM
PING RECV: 7/20/2023, 3:30:52 PM
PING RECV: 7/20/2023, 3:32:26 PM
7/20/2023, 3:32:43 PM
7/20/2023, 3:34:43 PM
PING RECV: 7/20/2023, 3:35:52 PM
7/20/2023, 3:36:43 PM
PING RECV: 7/20/2023, 3:37:26 PM
7/20/2023, 3:38:43 PM
7/20/2023, 3:40:43 PM
PING RECV: 7/20/2023, 3:40:52 PM
PING RECV: 7/20/2023, 3:42:26 PM
7/20/2023, 3:42:43 PM
7/20/2023, 3:44:43 PM
PING RECV: 7/20/2023, 3:45:52 PM
7/20/2023, 3:46:43 PM
PING RECV: 7/20/2023, 3:47:26 PM
7/20/2023, 3:48:43 PM
7/20/2023, 3:50:43 PM
PING RECV: 7/20/2023, 3:50:52 PM
PING RECV: 7/20/2023, 3:52:26 PM
7/20/2023, 3:52:43 PM
7/20/2023, 3:54:43 PM
PING RECV: 7/20/2023, 3:55:52 PM
7/20/2023, 3:56:43 PM
PING RECV: 7/20/2023, 3:57:26 PM
7/20/2023, 3:58:44 PM
7/20/2023, 4:00:44 PM
PING RECV: 7/20/2023, 4:00:52 PM
PING RECV: 7/20/2023, 4:02:26 PM
7/20/2023, 4:02:44 PM
7/20/2023, 4:04:44 PM
PING RECV: 7/20/2023, 4:05:52 PM
7/20/2023, 4:06:44 PM
PING RECV: 7/20/2023, 4:07:26 PM
7/20/2023, 4:08:44 PM
7/20/2023, 4:10:44 PM
PING RECV: 7/20/2023, 4:10:52 PM
PING RECV: 7/20/2023, 4:12:26 PM
7/20/2023, 4:12:44 PM
7/20/2023, 4:14:44 PM
PING RECV: 7/20/2023, 4:15:52 PM
7/20/2023, 4:16:44 PM
PING RECV: 7/20/2023, 4:17:26 PM
7/20/2023, 4:18:44 PM
7/20/2023, 4:20:44 PM
PING RECV: 7/20/2023, 4:20:52 PM
PING RECV: 7/20/2023, 4:22:26 PM
7/20/2023, 4:22:44 PM
7/20/2023, 4:24:44 PM
PING RECV: 7/20/2023, 4:25:52 PM
7/20/2023, 4:26:44 PM
PING RECV: 7/20/2023, 4:27:26 PM
7/20/2023, 4:28:44 PM
7/20/2023, 4:30:44 PM
PING RECV: 7/20/2023, 4:30:52 PM
PING RECV: 7/20/2023, 4:32:26 PM
7/20/2023, 4:32:44 PM
7/20/2023, 4:34:44 PM
PING RECV: 7/20/2023, 4:35:52 PM
7/20/2023, 4:36:44 PM
PING RECV: 7/20/2023, 4:37:26 PM
7/20/2023, 4:38:44 PM
7/20/2023, 4:40:44 PM
PING RECV: 7/20/2023, 4:40:53 PM
PING RECV: 7/20/2023, 4:42:26 PM
7/20/2023, 4:42:44 PM
7/20/2023, 4:44:44 PM
PING RECV: 7/20/2023, 4:45:52 PM
7/20/2023, 4:46:44 PM
PING RECV: 7/20/2023, 4:47:26 PM
7/20/2023, 4:48:44 PM
7/20/2023, 4:50:44 PM
PING RECV: 7/20/2023, 4:50:52 PM
PING RECV: 7/20/2023, 4:52:26 PM
7/20/2023, 4:52:44 PM
7/20/2023, 4:54:44 PM
PING RECV: 7/20/2023, 4:55:52 PM
7/20/2023, 4:56:44 PM
PING RECV: 7/20/2023, 4:57:26 PM
7/20/2023, 4:58:44 PM
7/20/2023, 5:00:44 PM
PING RECV: 7/20/2023, 5:00:52 PM
PING RECV: 7/20/2023, 5:02:26 PM
7/20/2023, 5:02:44 PM
7/20/2023, 5:04:44 PM
PING RECV: 7/20/2023, 5:06:00 PM
PING RECV: 7/20/2023, 5:07:26 PM
7/20/2023, 5:07:59 PM
7/20/2023, 5:09:59 PM
PING RECV: 7/20/2023, 5:10:52 PM
7/20/2023, 5:11:59 PM
PING RECV: 7/20/2023, 5:12:26 PM
PING RECV: 7/20/2023, 5:23:33 PM
7/20/2023, 5:25:33 PM
PING RECV: 7/20/2023, 5:27:12 PM
7/20/2023, 5:27:33 PM
PING RECV: 7/20/2023, 5:28:16 PM
7/20/2023, 5:29:33 PM
7/20/2023, 5:31:33 PM
PING RECV: 7/20/2023, 5:32:12 PM
PING RECV: 7/20/2023, 5:33:16 PM
7/20/2023, 5:33:33 PM
7/20/2023, 5:35:33 PM
PING RECV: 7/20/2023, 5:37:55 PM
PING RECV: 7/20/2023, 5:38:16 PM
7/20/2023, 5:39:55 PM
7/20/2023, 5:41:55 PM
PING RECV: 7/20/2023, 5:42:12 PM
PING RECV: 7/20/2023, 5:43:16 PM
7/20/2023, 5:43:55 PM
PING RECV: 7/20/2023, 5:47:15 PM
PING RECV: 7/20/2023, 5:48:16 PM
7/20/2023, 5:49:14 PM
7/20/2023, 5:51:14 PM
PING RECV: 7/20/2023, 5:52:12 PM
7/20/2023, 5:53:14 PM
PING RECV: 7/20/2023, 5:53:16 PM
7/20/2023, 5:55:14 PM
PING RECV: 7/20/2023, 5:57:12 PM
7/20/2023, 5:57:14 PM
PING RECV: 7/20/2023, 5:58:16 PM
7/20/2023, 5:59:14 PM
7/20/2023, 6:01:14 PM
PING RECV: 7/20/2023, 6:02:12 PM
7/20/2023, 6:03:14 PM
PING RECV: 7/20/2023, 6:03:16 PM
7/20/2023, 6:05:14 PM
PING RECV: 7/20/2023, 6:07:12 PM
7/20/2023, 6:07:14 PM
PING RECV: 7/20/2023, 6:08:16 PM
7/20/2023, 6:09:14 PM
7/20/2023, 6:11:14 PM
PING RECV: 7/20/2023, 6:12:12 PM
7/20/2023, 6:13:14 PM
PING RECV: 7/20/2023, 6:13:16 PM
7/20/2023, 6:15:14 PM
PING RECV: 7/20/2023, 6:17:12 PM
7/20/2023, 6:17:14 PM
PING RECV: 7/20/2023, 6:18:16 PM
7/20/2023, 6:19:14 PM
7/20/2023, 6:21:14 PM
PING RECV: 7/20/2023, 6:22:12 PM
7/20/2023, 6:23:14 PM
PING RECV: 7/20/2023, 6:23:16 PM
7/20/2023, 6:25:14 PM
PING RECV: 7/20/2023, 6:27:12 PM
7/20/2023, 6:27:14 PM
PING RECV: 7/20/2023, 6:28:16 PM
7/20/2023, 6:29:14 PM
7/20/2023, 6:31:14 PM
PING RECV: 7/20/2023, 6:32:12 PM
7/20/2023, 6:33:14 PM
PING RECV: 7/20/2023, 6:33:16 PM
7/20/2023, 6:35:14 PM
PING RECV: 7/20/2023, 6:37:12 PM
7/20/2023, 6:37:14 PM
PING RECV: 7/20/2023, 6:38:16 PM
7/20/2023, 6:39:14 PM
7/20/2023, 6:41:14 PM
PING RECV: 7/20/2023, 6:42:12 PM
7/20/2023, 6:43:14 PM
PING RECV: 7/20/2023, 6:43:16 PM
7/20/2023, 6:45:14 PM
PING RECV: 7/20/2023, 6:48:16 PM
7/20/2023, 6:49:58 PM
PING RECV: 7/20/2023, 6:53:21 PM
7/20/2023, 6:55:20 PM
PING RECV: 7/20/2023, 6:57:12 PM
7/20/2023, 6:57:20 PM
PING RECV: 7/20/2023, 6:58:16 PM
7/20/2023, 6:59:20 PM
7/20/2023, 7:01:20 PM
PING RECV: 7/20/2023, 7:02:12 PM
PING RECV: 7/20/2023, 7:03:16 PM
7/20/2023, 7:03:20 PM
7/20/2023, 7:05:20 PM
PING RECV: 7/20/2023, 7:07:12 PM
7/20/2023, 7:07:20 PM
PING RECV: 7/20/2023, 7:08:16 PM
7/20/2023, 7:09:20 PM
7/20/2023, 7:11:21 PM
PING RECV: 7/20/2023, 7:12:12 PM
